clinic,men_2018_Q1_Total ART,men_2018_Q1_DTG,men_2018_Q2_Total ART,men_2018_Q2_DTG,men_2018_Q3_Total ART,men_2018_Q3_DTG,men_2018_Q4_Total ART,men_2018_Q4_DTG,men_2019_Q1_Total ART,men_2019_Q1_DTG,men_2019_Q2_Total ART,men_2019_Q2_DTG,men_2019_Q3_Total ART,men_2019_Q3_DTG,men_2019_Q4_Total ART,men_2019_Q4_DTG,men_2020_Q1_Total ART,men_2020_Q1_DTG,men_2020_Q2_Total ART,men_2020_Q2_DTG,men_2020_Q3_Total ART,men_2020_Q3_DTG,men_2020_Q4_Total ART,men_2020_Q4_DTG,men_2021_Q1_Total ART,men_2021_Q1_DTG,men_2021_Q2_Total ART,men_2021_Q2_DTG,men_2021_Q3_Total ART,men_2021_Q3_DTG,men_2021_Q4_Total ART,men_2021_Q4_DTG,men_2022_Q1_Total ART,men_2022_Q1_DTG,men_2022_Q2_Total ART,men_2022_Q2_DTG,men_2022_Q3_Total ART,men_2022_Q3_DTG,men_2022_Q4_Total ART,men_2022_Q4_DTG,men_2023_Q1_Total ART,men_2023_Q1_DTG,men_2023_Q2_Total ART,men_2023_Q2_DTG,women_2018_Q1_Total ART,women_2018_Q1_DTG,women_2018_Q2_Total ART,women_2018_Q2_DTG,women_2018_Q3_Total ART,women_2018_Q3_DTG,women_2018_Q4_Total ART,women_2018_Q4_DTG,women_2019_Q1_Total ART,women_2019_Q1_DTG,women_2019_Q2_Total ART,women_2019_Q2_DTG,women_2019_Q3_Total ART,women_2019_Q3_DTG,women_2019_Q4_Total ART,women_2019_Q4_DTG,women_2020_Q1_Total ART,women_2020_Q1_DTG,women_2020_Q2_Total ART,women_2020_Q2_DTG,women_2020_Q3_Total ART,women_2020_Q3_DTG,women_2020_Q4_Total ART,women_2020_Q4_DTG,women_2021_Q1_Total ART,women_2021_Q1_DTG,women_2021_Q2_Total ART,women_2021_Q2_DTG,women_2021_Q3_Total ART,women_2021_Q3_DTG,women_2021_Q4_Total ART,women_2021_Q4_DTG,women_2022_Q1_Total ART,women_2022_Q1_DTG,women_2022_Q2_Total ART,women_2022_Q2_DTG,women_2022_Q3_Total ART,women_2022_Q3_DTG,women_2022_Q4_Total ART,women_2022_Q4_DTG,women_2023_Q1_Total ART,women_2023_Q1_DTG,women_2023_Q2_Total ART,women_2023_Q2_DTG
Kasasa,31,0,23,4,54,5,91,2,177,2,229,73,252,141,218,142,139,119,151,121,223,179,259,216,268,231,270,240,274,247,280,256,289,266,286,265,283,262,289,269,294,276,290,274,48,2,51,4,163,4,187,2,360,1,498,71,523,141,450,146,246,93,248,93,378,183,507,287,540,396,557,449,566,478,575,519,583,542,589,554,595,566,608,581,611,586,602,581
Rakai,860,1,899,1,946,2,938,10,923,5,966,6,962,19,955,585,1000,853,884,755,890,766,934,888,957,920,951,922,967,936,742,718,812,791,821,803,808,798,725,715,721,709,1031,972,1366,2,1455,2,1525,2,1521,11,1484,9,1545,10,1554,25,1517,752,1570,1067,1403,956,1400,1027,1443,1270,1472,1364,1463,1382,1489,1434,1121,1089,1266,1242,1260,1239,1214,1197,1069,1056,1131,1114,986,976
Kamulegu,143,2,153,3,155,3,156,3,155,1,157,2,167,3,169,10,173,118,173,141,181,152,178,157,175,156,178,162,186,173,196,184,195,184,196,189,161,161,209,209,206,206,204,204,248,3,267,5,258,2,265,1,270,4,264,2,272,3,278,1,298,48,302,59,303,80,311,204,323,295,322,307,335,321,347,332,347,332,350,339,253,253,371,371,363,362,357,357
Lwanda,62,0,60,0,34,0,27,0,86,0,64,51,65,60,71,65,217,201,224,193,235,200,229,203,229,203,236,215,250,219,252,226,251,239,246,236,240,230,243,241,244,242,246,244,149,0,122,0,74,0,43,0,49,0,92,85,120,101,135,124,445,428,450,431,461,432,464,449,473,455,470,458,486,466,478,465,492,486,482,480,492,491,502,499,507,504,508,505
Kifamba,22,0,6,0,16,0,40,0,66,0,91,0,99,0,95,2,80,14,78,18,85,22,89,31,91,73,90,80,96,88,96,93,97,97,106,104,108,107,107,106,107,106,109,107,30,0,20,0,40,0,94,0,152,0,184,0,195,0,181,5,160,11,170,15,189,20,159,24,165,76,172,129,183,161,196,183,201,198,210,208,208,205,212,212,209,209,211,209
Kasaali,306,0,317,0,323,0,318,1,322,0,321,2,329,11,334,26,352,287,357,298,361,302,363,319,372,346,376,356,380,360,372,359,373,363,381,370,381,378,391,388,389,384,388,383,630,1,642,1,653,2,356,2,991,3,672,2,680,107,688,183,738,210,759,218,766,253,782,367,792,565,786,655,789,699,790,727,802,753,810,774,814,796,819,804,829,813,821,811
RHSP,860,1,899,1,946,2,938,10,923,5,966,6,962,19,955,585,1000,853,884,755,890,766,934,888,957,920,951,922,967,936,742,718,812,791,821,803,808,798,725,715,721,709,1031,972,1366,2,1455,2,1525,2,1521,11,1484,9,1545,10,1554,25,1517,752,1570,1067,1403,956,1400,1027,1443,1270,1472,1364,1463,1382,1489,1434,1121,1089,1266,1242,1260,1239,1214,1197,1069,1056,1131,1114,1516,714
Mitukula,58,1,86,4,85,0,104,0,119,1,117,30,153,73,164,119,256,202,285,234,293,246,293,264,298,273,309,298,319,306,318,306,331,315,339,327,346,313,350,341,347,343,355,352,102,4,126,5,159,3,154,4,190,7,191,9,256,36,299,54,505,118,551,112,551,163,613,329,621,456,629,524,642,591,665,624,672,651,674,653,688,673,691,681,713,704,737,730
Kyanamukaka,582,1,551,2,577,2,543,0,542,0,558,122,596,238,552,394,555,429,568,433,576,444,581,466,584,485,567,493,551,513,530,525,570,532,558,537,557,534,563,528,561,545,557,552,633,1,679,2,634,2,659,3,662,2,686,64,662,118,683,218,739,254,702,262,669,287,680,414,691,559,723,610,746,644,735,664,738,682,752,711,754,704,774,704,779,720,747,735
Kabira,101,9,97,8,96,9,74,10,69,13,88,24,72,26,99,53,204,127,420,299,441,312,443,320,376,329,461,417,470,444,471,444,470,445,476,453,485,469,486,478,492,485,490,489,134,11,143,10,145,12,121,14,98,11,102,7,98,9,144,31,304,88,625,248,685,274,666,288,560,370,680,564,704,629,701,640,708,656,710,664,721,686,741,721,757,747,754,748
Kasensero,304,6,483,8,506,9,388,4,393,2,503,14,542,25,523,61,108,45,79,57,248,204,525,453,620,569,639,612,634,601,640,623,664,652,668,662,683,677,691,685,689,684,681,678,336,13,480,17,481,13,387,11,426,10,547,17,583,23,567,38,145,36,90,31,256,106,533,283,658,466,672,556,665,592,675,634,676,650,679,660,668,646,681,672,682,671,659,NA
Kalisizo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
