clinic	name	sex	year	Total ART	DTG	p	s	lcl	ucl
Kasasa	2018 Q1	men	2018-02-15	31	0	0	0	0	0
Kasasa	2018 Q2	men	2018-05-17	23	4	0.17391304347826086	0.0790341964475118	0.019008864894074246	0.32881722206244746
Kasasa	2018 Q3	men	2018-08-17	54	5	0.09259259259259259	0.039445040149549	0.015281734530740138	0.169903450654445
Kasasa	2018 Q4	men	2018-11-16	91	2	0.02197802197802198	0.015369081467100395	0	0.05210086812900076
Kasasa	2019 Q1	men	2019-02-15	177	2	0.011299435028248588	0.007944638172079315	0	0.026870639715726168
Kasasa	2019 Q2	men	2019-05-17	229	73	0.31877729257641924	0.030794312007682435	0.2584215501126723	0.3791330350401661
Kasasa	2019 Q3	men	2019-08-17	252	141	0.5595238095238095	0.03127304966447245	0.49822975849471113	0.620817860552908
Kasasa	2019 Q4	men	2019-11-16	218	142	0.6513761467889908	0.032274998289734666	0.588118312540019	0.7146339810379626
Kasasa	2020 Q1	men	2020-02-15	139	119	0.8561151079136691	0.029769139290031926	0.7977686670544503	0.9144615487728879
Kasasa	2020 Q2	men	2020-05-17	151	121	0.8013245033112583	0.032470418907083416	0.7376836516904464	0.8649653549320702
Kasasa	2020 Q3	men	2020-08-16	223	179	0.8026905829596412	0.026649898491932018	0.7504577417238062	0.8549234241954763
Kasasa	2020 Q4	men	2020-11-16	259	216	0.833976833976834	0.023121257862037257	0.7886600012899774	0.8792936666636906
Kasasa	2021 Q1	men	2021-02-15	268	231	0.8619402985074627	0.02107194678900929	0.82064004171686	0.9032405552980654
Kasasa	2021 Q2	men	2021-05-17	270	240	0.8888888888888888	0.0191258436849749	0.8514029240923953	0.9263748536853824
Kasasa	2021 Q3	men	2021-08-17	274	247	0.9014598540145985	0.01800547216238519	0.866169777051685	0.936749930977512
Kasasa	2021 Q4	men	2021-11-16	280	256	0.9142857142857143	0.016729715536260573	0.8814960743630433	0.9470753542083852
Kasasa	2022 Q1	men	2022-02-15	289	266	0.9204152249134948	0.01592054652312328	0.8892115271139788	0.9516189227130109
Kasasa	2022 Q2	men	2022-05-17	286	265	0.9265734265734266	0.015423521196174052	0.8963438805141353	0.9568029726327179
Kasasa	2022 Q3	men	2022-08-17	283	262	0.9257950530035336	0.015580473059869576	0.8952578869440927	0.9563322190629745
Kasasa	2022 Q4	men	2022-11-16	289	269	0.9307958477508651	0.014929469424703636	0.901534625370154	0.9600570701315762
Kasasa	2023 Q1	men	2023-02-15	294	276	0.9387755102040817	0.01398201610295253	0.9113712622110356	0.9661797581971278
