095lower	095upper	050lower	050upper	median	name	drug_class	posterior	round_idx	status	round	round_mid_date
0.0906406	0.855615	0.327039	0.589237	0.45511900000000005	R_betas[1]	nnrti	TRUE	NA	NA	NA	NA
-0.855615	-0.0906406	-0.589237	-0.327039	-0.45511900000000005	R_betas[2]	nnrti	TRUE	NA	NA	NA	NA
0.156962	0.727898	0.334834	0.531882	0.43438299999999996	R_betas[3]	nnrti	TRUE	NA	NA	NA	NA
-0.727898	-0.156962	-0.531882	-0.334834	-0.43438299999999996	R_betas[4]	nnrti	TRUE	NA	NA	NA	NA
-0.236277	0.384142	-0.00510051	0.209526	0.07697105	R_betas[5]	nnrti	TRUE	NA	NA	NA	NA
-0.384142	0.236277	-0.209526	0.00510051	-0.07697105	R_betas[6]	nnrti	TRUE	NA	NA	NA	NA
-0.748981	0.201879	-0.441716	-0.118259	-0.2580605	R_betas[7]	nnrti	TRUE	NA	NA	NA	NA
-0.201879	0.748981	0.118259	0.441716	0.2580605	R_betas[8]	nnrti	TRUE	NA	NA	NA	NA
0.0793374	0.521512	0.206867	0.357303	0.292931	alpha_0	nnrti	TRUE	NA	NA	NA	NA
1.02056e-4	1.03906	0.408436	0.802564	0.5795275	alpha_sd	nnrti	TRUE	NA	NA	NA	NA
-0.323324	0.0495008	-0.200926	-0.0711508	-0.1348705	betas[10]	nnrti	TRUE	NA	NA	NA	NA
0.0184808	0.356715	0.128056	0.243649	0.183876	betas[11]	nnrti	TRUE	NA	NA	NA	NA
-0.26974	0.147929	-0.11446	0.0277832	-0.0501787	betas[12]	nnrti	TRUE	NA	NA	NA	NA
-0.849987	-0.154487	-0.614263	-0.379396	-0.49625949999999996	betas[1]	nnrti	TRUE	NA	NA	NA	NA
-0.534209	0.0161411	-0.36353	-0.176236	-0.26703	betas[2]	nnrti	TRUE	NA	NA	NA	NA
-0.370146	0.188796	-0.191292	-9.6072e-4	-0.09264030000000001	betas[3]	nnrti	TRUE	NA	NA	NA	NA
0.457672	1.28059	0.712867	0.989451	0.857148	betas[4]	nnrti	TRUE	NA	NA	NA	NA
-0.506777	-0.0404107	-0.331521	-0.170562	-0.2664445	betas[5]	nnrti	TRUE	NA	NA	NA	NA
-0.295397	0.0478081	-0.190385	-0.076941	-0.134274	betas[6]	nnrti	TRUE	NA	NA	NA	NA
0.199038	0.592484	0.322789	0.457032	0.3991895	betas[7]	nnrti	TRUE	NA	NA	NA	NA
0.167092	0.435826	0.244682	0.335476	0.2956435	betas[8]	nnrti	TRUE	NA	NA	NA	NA
-0.435826	-0.167092	-0.335476	-0.244682	-0.2956435	betas[9]	nnrti	TRUE	NA	NA	NA	NA
1	1	1	1	1	between_round_rr[1,1]	nnrti	TRUE	1	susceptible	17	2015-11-03
1	1	1	1	1	between_round_rr[1,2]	nnrti	TRUE	1	intermediate/high	17	2015-11-03
0.96456	1.21859	1.04962	1.13295	1.091645	between_round_rr[2,1]	nnrti	TRUE	2	susceptible	18	2017-07-17
0.67076	1.81288	0.899405	1.24644	1.1544349999999999	between_round_rr[2,2]	nnrti	TRUE	2	intermediate/high	18	2017-07-17
0.893469	1.18082	0.991599	1.08638	1.0345	between_round_rr[3,1]	nnrti	TRUE	3	susceptible	19	2019-06-20
0.915346	2.27867	1.18199	1.6071	1.4570400000000001	between_round_rr[3,2]	nnrti	TRUE	3	intermediate/high	19	2019-06-20
1.075	1.42932	1.18757	1.30974	1.252355	between_round_rr[4,1]	nnrti	TRUE	4	susceptible	20	2022-03-04
1.29867	3.07156	1.57182	2.12225	1.972475	between_round_rr[4,2]	nnrti	TRUE	4	intermediate/high	20	2022-03-04
0.919936	0.968419	0.936327	0.952757	0.9442440000000001	between_round_rr_obs[1,1]	nnrti	TRUE	1	susceptible	17	2015-11-03
0.751585	0.921348	0.812787	0.87018	0.8380045	between_round_rr_obs[1,2]	nnrti	TRUE	1	intermediate/high	17	2015-11-03
0.905916	1.15932	0.979842	1.06217	1.024355	between_round_rr_obs[2,1]	nnrti	TRUE	2	susceptible	18	2017-07-17
0.579515	1.61928	0.782153	1.09911	0.995638	between_round_rr_obs[2,2]	nnrti	TRUE	2	intermediate/high	18	2017-07-17
0.798846	1.08058	0.885721	0.979622	0.9392815000000001	between_round_rr_obs[3,1]	nnrti	TRUE	3	susceptible	19	2019-06-20
0.78943700000000006	2.05799	1.03603	1.43319	1.29391	between_round_rr_obs[3,2]	nnrti	TRUE	3	intermediate/high	19	2019-06-20
0.975447	1.34591	1.11139	1.23985	1.16574	between_round_rr_obs[4,1]	nnrti	TRUE	4	susceptible	20	2022-03-04
1.19764	2.93658	1.45917	2.00341	1.870995	between_round_rr_obs[4,2]	nnrti	TRUE	4	intermediate/high	20	2022-03-04
0.608423	0.694852	0.632017	0.662057	0.650374	overall_mu_pred[1]	nnrti	TRUE	NA	susceptible	NA	NA
0.582974	0.756542	0.639839	0.699148	0.6704429999999999	overall_mu_pred[2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.564196	0.641081	0.586838	0.613185	0.6016745	overall_mu_pred_obs[1]	nnrti	TRUE	NA	susceptible	NA	NA
0.458629	0.597254	0.50783	0.554701	0.5288945	overall_mu_pred_obs[2]	nnrti	TRUE	NA	intermediate/high	NA	NA
-5.6874	-3.97598	-5.04195	-4.44871	-4.81351	prob_res_alpha_0	nnrti	TRUE	NA	NA	NA	NA
-5.42514	5.40267	-4.52872	4.59369	-0.06125999999999987	prob_res_alpha_sd	nnrti	TRUE	NA	NA	NA	NA
-0.809479	0.0749969	-0.492264	-0.186328	-0.340495	prob_res_betas[10]	nnrti	TRUE	NA	NA	NA	NA
-0.429847	0.38838	-0.154865	0.121595	-0.0223667	prob_res_betas[11]	nnrti	TRUE	NA	NA	NA	NA
-0.0953917	0.812855	0.183204	0.494041	0.3614805	prob_res_betas[12]	nnrti	TRUE	NA	NA	NA	NA
-1.77435	-0.800908	-1.38568	-1.0654	-1.26888	prob_res_betas[1]	nnrti	TRUE	NA	NA	NA	NA
-0.461672	0.309404	-0.205169	0.0590879	-0.07455690000000001	prob_res_betas[2]	nnrti	TRUE	NA	NA	NA	NA
0.129504	0.940935	0.392618	0.666965	0.5329415	prob_res_betas[3]	nnrti	TRUE	NA	NA	NA	NA
0.314556	1.32317	0.653041	0.995714	0.8189120000000001	prob_res_betas[4]	nnrti	TRUE	NA	NA	NA	NA
-0.766407	0.224253	-0.458982	-0.13181	-0.2685765	prob_res_betas[5]	nnrti	TRUE	NA	NA	NA	NA
-0.472548	0.309044	-0.221398	0.0427968	-0.07853145	prob_res_betas[6]	nnrti	TRUE	NA	NA	NA	NA
-0.0753417	0.773456	0.221834	0.511344	0.34563	prob_res_betas[7]	nnrti	TRUE	NA	NA	NA	NA
0.387355	1.05477	0.58059	0.805713	0.7119975000000001	prob_res_betas[8]	nnrti	TRUE	NA	NA	NA	NA
-1.05477	-0.387355	-0.805713	-0.58059	-0.7119975000000001	prob_res_betas[9]	nnrti	TRUE	NA	NA	NA	NA
0.552477	0.655919	0.58369	0.618763	0.603499	round_mu_pred[1,1]	nnrti	TRUE	1	susceptible	17	2015-11-03
0.260126	0.606576	0.372295	0.49535	0.43312649999999997	round_mu_pred[1,2]	nnrti	TRUE	1	intermediate/high	17	2015-11-03
0.603446	0.721299	0.638949	0.678327	0.6583255	round_mu_pred[2,1]	nnrti	TRUE	2	susceptible	18	2017-07-17
0.372653	0.62404	0.460727	0.549545	0.499857	round_mu_pred[2,2]	nnrti	TRUE	2	intermediate/high	18	2017-07-17
0.556383	0.703146	0.598125	0.648182	0.623871	round_mu_pred[3,1]	nnrti	TRUE	3	susceptible	19	2019-06-20
0.500829	0.753146	0.582454	0.67247	0.6326545	round_mu_pred[3,2]	nnrti	TRUE	3	intermediate/high	19	2019-06-20
0.659448	0.844123	0.724851	0.788776	0.7559705	round_mu_pred[4,1]	nnrti	TRUE	4	susceptible	20	2022-03-04
0.741294	0.948378	0.834721	0.905734	0.861221	round_mu_pred[4,2]	nnrti	TRUE	4	intermediate/high	20	2022-03-04
0.517761	0.620191	0.554367	0.589063	0.5697245	round_mu_pred_obs[1,1]	nnrti	TRUE	1	susceptible	17	2015-11-03
0.206539	0.524198	0.298884	0.410312	0.36233499999999996	round_mu_pred_obs[1,2]	nnrti	TRUE	1	intermediate/high	17	2015-11-03
0.56109	0.676882	0.599442	0.637538	0.617992	round_mu_pred_obs[2,1]	nnrti	TRUE	2	susceptible	18	2017-07-17
0.310871	0.549641	0.385398	0.470408	0.4312735	round_mu_pred_obs[2,2]	nnrti	TRUE	2	intermediate/high	18	2017-07-17
0.497157	0.641459	0.540702	0.588897	0.5664815	round_mu_pred_obs[3,1]	nnrti	TRUE	3	susceptible	19	2019-06-20
0.429364	0.685664	0.516403	0.605812	0.5607975000000001	round_mu_pred_obs[3,2]	nnrti	TRUE	3	intermediate/high	19	2019-06-20
0.606302	0.803488	0.668193	0.736812	0.7036225	round_mu_pred_obs[4,1]	nnrti	TRUE	4	susceptible	20	2022-03-04
0.68071	0.924693	0.785501	0.870459	0.816256	round_mu_pred_obs[4,2]	nnrti	TRUE	4	intermediate/high	20	2022-03-04
0.623336	0.792448	0.682445	0.74018	0.7111449999999999	strata_mu_pred[1,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.300065	0.688328	0.435595	0.575302	0.495853	strata_mu_pred[1,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.370531	0.566841	0.436372	0.50563	0.4695195	strata_mu_pred[10,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.114931	0.415317	0.196293	0.302842	0.262791	strata_mu_pred[10,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.687438	0.827498	0.737351	0.785743	0.7567295	strata_mu_pred[11,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.371755	0.749308	0.498681	0.632422	0.555321	strata_mu_pred[11,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.576155	0.720208	0.622475	0.671208	0.645813	strata_mu_pred[12,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.248228	0.608488	0.352211	0.478452	0.422423	strata_mu_pred[12,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.285945	0.499121	0.35494	0.430017	0.39147350000000003	strata_mu_pred[13,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.0852793	0.348849	0.151727	0.243236	0.205081	strata_mu_pred[13,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.52145300000000006	0.70316	0.5875	0.651042	0.61517	strata_mu_pred[14,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.209216	0.573746	0.318654	0.447528	0.39182700000000004	strata_mu_pred[14,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.437315	0.639709	0.500202	0.572791	0.5375464999999999	strata_mu_pred[15,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.152306	0.489827	0.254519	0.372726	0.31819949999999997	strata_mu_pred[15,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.487032	0.670406	0.544579	0.608087	0.5777215	strata_mu_pred[16,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.179492	0.531435	0.280237	0.406447	0.353418	strata_mu_pred[16,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.349369	0.538338	0.413668	0.477895	0.444582	strata_mu_pred[17,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.118271	0.402669	0.186336	0.28642	0.242678	strata_mu_pred[17,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.298173	0.52395099999999994	0.37624	0.453909	0.41254599999999997	strata_mu_pred[18,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.0928445	0.373209	0.163308	0.26086	0.219691	strata_mu_pred[18,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.519779	0.694166	0.579351	0.638633	0.6052095	strata_mu_pred[19,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.259138	0.524694	0.336446	0.430185	0.392663	strata_mu_pred[19,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.606799	0.771052	0.667077	0.722613	0.6938645	strata_mu_pred[2,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.286421	0.667502	0.413847	0.550266	0.475649	strata_mu_pred[2,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.532302	0.719576	0.593127	0.656806	0.625827	strata_mu_pred[20,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.27841	0.559864	0.366628	0.464757	0.413626	strata_mu_pred[20,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.652972	0.816501	0.707522	0.76451	0.7339795	strata_mu_pred[21,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.398392	0.67539	0.49051	0.589226	0.539319	strata_mu_pred[21,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.665037	0.831954	0.722925	0.779645	0.7507515	strata_mu_pred[22,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.415661	0.697389	0.515087	0.615578	0.560881	strata_mu_pred[22,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.543833	0.731381	0.609321	0.671668	0.6392575	strata_mu_pred[23,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.287202	0.567895	0.370005	0.47158	0.4269665	strata_mu_pred[23,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.610192	0.765108	0.660392	0.713538	0.6910434999999999	strata_mu_pred[24,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.349012	0.619134	0.43878	0.533502	0.484618	strata_mu_pred[24,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.534235	0.707429	0.589416	0.649726	0.6193535	strata_mu_pred[25,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.276012	0.543848	0.349995	0.445643	0.405055	strata_mu_pred[25,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.398903	0.588833	0.465581	0.531313	0.495509	strata_mu_pred[26,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.17299900000000001	0.421111	0.239848	0.328231	0.291325	strata_mu_pred[26,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.339462	0.551984	0.402664	0.477432	0.440023	strata_mu_pred[27,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.134347	0.382883	0.199276	0.284913	0.2488765	strata_mu_pred[27,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.38972	0.562325	0.442093	0.50129	0.47398450000000003	strata_mu_pred[28,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.168213	0.397326	0.223748	0.305724	0.273478	strata_mu_pred[28,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.484842	0.685353	0.554127	0.625056	0.5875465	strata_mu_pred[29,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.236823	0.525531	0.320615	0.422451	0.373216	strata_mu_pred[29,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.50348	0.685182	0.564922	0.627698	0.5907965	strata_mu_pred[3,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.19596	0.548694	0.302882	0.427771	0.36771600000000004	strata_mu_pred[3,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.484308	0.633707	0.527841	0.578316	0.553099	strata_mu_pred[30,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.21703	0.462298	0.299912	0.385722	0.343037	strata_mu_pred[30,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.601322	0.756333	0.654488	0.705681	0.6789975	strata_mu_pred[31,1]	nnrti	TRUE	NA	susceptible	NA	NA
0.337427	0.604508	0.424226	0.518028	0.47204749999999995	strata_mu_pred[31,2]	nnrti	TRUE	NA	intermediate/high	NA	NA
0.717575	0.861063	0.7684	0.818491	0.7920915	strata_mu_pred[32,1]	nnrti	TRUE	NA	susceptible	NA	NA
