095lower	095upper	050lower	050upper	median	name	drug_class	posterior	round_idx	status	round	round_mid_date
-1.27141	1.42049	-0.407949	0.539836	0.002093525	R_betas[1]	nnrti	FALSE	NA	NA	NA	NA
-1.42049	1.27141	-0.539836	0.407949	-0.002093525	R_betas[2]	nnrti	FALSE	NA	NA	NA	NA
-1.3391	1.50524	-0.543205	0.433604	-0.0021343150000000003	R_betas[3]	nnrti	FALSE	NA	NA	NA	NA
-1.50524	1.3391	-0.433604	0.543205	0.0021343150000000003	R_betas[4]	nnrti	FALSE	NA	NA	NA	NA
-1.36896	1.34718	-0.465929	0.447384	-3.88954e-4	R_betas[5]	nnrti	FALSE	NA	NA	NA	NA
-1.34718	1.36896	-0.447384	0.465929	3.88954e-4	R_betas[6]	nnrti	FALSE	NA	NA	NA	NA
-1.39049	1.30862	-0.471795	0.454618	-4.245165e-4	R_betas[7]	nnrti	FALSE	NA	NA	NA	NA
-1.30862	1.39049	-0.454618	0.471795	4.245165e-4	R_betas[8]	nnrti	FALSE	NA	NA	NA	NA
-1.92521	1.90538	-0.635988	0.661967	0.004008885	alpha_0	nnrti	FALSE	NA	NA	NA	NA
3.75236e-4	11.9111	3.75236e-4	0.985728	0.9852585	alpha_sd	nnrti	FALSE	NA	NA	NA	NA
-1.57105	1.66422	-0.528069	0.577464	-0.00226541	betas[10]	nnrti	FALSE	NA	NA	NA	NA
-1.65666	1.57049	-0.536826	0.55504	0.00451453	betas[11]	nnrti	FALSE	NA	NA	NA	NA
-1.58391	1.62191	-0.575316	0.524634	-0.005230195	betas[12]	nnrti	FALSE	NA	NA	NA	NA
-1.77989	1.59456	-0.604803	0.558042	-0.005812125	betas[1]	nnrti	FALSE	NA	NA	NA	NA
-1.73557	1.61405	-0.504679	0.653446	0.01692785	betas[2]	nnrti	FALSE	NA	NA	NA	NA
-1.67387	1.69464	-0.603188	0.555667	-0.012523800000000002	betas[3]	nnrti	FALSE	NA	NA	NA	NA
-1.73542	1.58413	-0.516521	0.627333	0.00125692	betas[4]	nnrti	FALSE	NA	NA	NA	NA
-1.55622	1.61813	-0.393143	0.70168	0.01024745	betas[5]	nnrti	FALSE	NA	NA	NA	NA
-1.58694	1.60972	-0.611162	0.474139	0.0034572350000000003	betas[6]	nnrti	FALSE	NA	NA	NA	NA
-1.55556	1.64447	-0.561334	0.538581	-0.005382295	betas[7]	nnrti	FALSE	NA	NA	NA	NA
-1.33217	1.36463	-0.454078	0.451613	-0.00262386	betas[8]	nnrti	FALSE	NA	NA	NA	NA
-1.36463	1.33217	-0.451613	0.454078	0.00262386	betas[9]	nnrti	FALSE	NA	NA	NA	NA
1	1	1	1	1	between_round_rr[1,1]	nnrti	FALSE	1	susceptible	17	2015-11-03
1	1	1	1	1	between_round_rr[1,2]	nnrti	FALSE	1	intermediate/high	17	2015-11-03
0.0292324	3.64495	0.471714	1.19897	1.0027400000000002	between_round_rr[2,1]	nnrti	FALSE	2	susceptible	18	2017-07-17
0.0341035	3.63193	0.480039	1.2027	0.996381	between_round_rr[2,2]	nnrti	FALSE	2	intermediate/high	18	2017-07-17
0.0614261	3.44096	0.47416	1.18854	1.00139	between_round_rr[3,1]	nnrti	FALSE	3	susceptible	19	2019-06-20
0.020113	3.57534	0.46532	1.18122	1.0054949999999998	between_round_rr[3,2]	nnrti	FALSE	3	intermediate/high	19	2019-06-20
0.0376382	3.40794	0.482721	1.21797	1.00922	between_round_rr[4,1]	nnrti	FALSE	4	susceptible	20	2022-03-04
0.0665723	3.54217	0.530493	1.23955	1.00849	between_round_rr[4,2]	nnrti	FALSE	4	intermediate/high	20	2022-03-04
0.642934	1.46804	0.894338	1.07528	0.9974455	between_round_rr_obs[1,1]	nnrti	FALSE	1	susceptible	17	2015-11-03
0.693707	1.44696	0.916237	1.07077	1.002625	between_round_rr_obs[1,2]	nnrti	FALSE	1	intermediate/high	17	2015-11-03
0.0332321	3.76075	0.472968	1.21079	1.001525	between_round_rr_obs[2,1]	nnrti	FALSE	2	susceptible	18	2017-07-17
0.052325	3.7609	0.5142	1.23673	1.006745	between_round_rr_obs[2,2]	nnrti	FALSE	2	intermediate/high	18	2017-07-17
0.0541168	3.62451	0.487872	1.2092	1.0028800000000002	between_round_rr_obs[3,1]	nnrti	FALSE	3	susceptible	19	2019-06-20
0.0235819	3.65354	0.506775	1.23216	1.00758	between_round_rr_obs[3,2]	nnrti	FALSE	3	intermediate/high	19	2019-06-20
0.0499841	3.62032	0.480648	1.21756	1.00187	between_round_rr_obs[4,1]	nnrti	FALSE	4	susceptible	20	2022-03-04
0.0532798	3.58952	0.525168	1.22818	1.0167950000000001	between_round_rr_obs[4,2]	nnrti	FALSE	4	intermediate/high	20	2022-03-04
0.176043	0.839658	0.380835	0.638341	0.5025185000000001	overall_mu_pred[1]	nnrti	FALSE	NA	susceptible	NA	NA
0.175958	0.85105	0.38365	0.642085	0.49935949999999996	overall_mu_pred[2]	nnrti	FALSE	NA	intermediate/high	NA	NA
0.194829	0.82597	0.363242	0.601068	0.500808	overall_mu_pred_obs[1]	nnrti	FALSE	NA	susceptible	NA	NA
0.184568	0.826509	0.388178	0.625444	0.5012045	overall_mu_pred_obs[2]	nnrti	FALSE	NA	intermediate/high	NA	NA
-1.84002	2.02647	-0.724794	0.5945	-0.016173550000000002	prob_res_alpha_0	nnrti	FALSE	NA	NA	NA	NA
-9.73914	12.3679	-0.879352	1.0186	0.023865900000000002	prob_res_alpha_sd	nnrti	FALSE	NA	NA	NA	NA
-1.67144	1.51339	-0.579143	0.533081	-0.006974845	prob_res_betas[10]	nnrti	FALSE	NA	NA	NA	NA
