095lower	095upper	050lower	050upper	median	name	drug_class	posterior	round_idx	status	round	round_mid_date
0.0527379	1.05503	0.359458	0.708585	0.545075	R_betas[1]	nrti	TRUE	NA	NA	NA	NA
-1.05503	-0.0527379	-0.708585	-0.359458	-0.545075	R_betas[2]	nrti	TRUE	NA	NA	NA	NA
0.213124	0.899908	0.41792	0.651543	0.5438305	R_betas[3]	nrti	TRUE	NA	NA	NA	NA
-0.899908	-0.213124	-0.651543	-0.41792	-0.5438305	R_betas[4]	nrti	TRUE	NA	NA	NA	NA
-0.263604	0.443151	-0.0371894	0.204043	0.0888539	R_betas[5]	nrti	TRUE	NA	NA	NA	NA
-0.443151	0.263604	-0.204043	0.0371894	-0.0888539	R_betas[6]	nrti	TRUE	NA	NA	NA	NA
-0.844739	0.343258	-0.432719	-0.0261449	-0.231183	R_betas[7]	nrti	TRUE	NA	NA	NA	NA
-0.343258	0.844739	0.0261449	0.432719	0.231183	R_betas[8]	nrti	TRUE	NA	NA	NA	NA
-0.0624423	0.44802	0.107487	0.27817	0.2036575	alpha_0	nrti	TRUE	NA	NA	NA	NA
8.19406e-4	0.915219	0.329378	0.693891	0.4814705	alpha_sd	nrti	TRUE	NA	NA	NA	NA
-0.34137	0.0336614	-0.234881	-0.104816	-0.1586275	betas[10]	nrti	TRUE	NA	NA	NA	NA
0.0111014	0.344128	0.125315	0.240797	0.1773495	betas[11]	nrti	TRUE	NA	NA	NA	NA
-0.218075	0.188686	-0.0805964	0.058569	-0.01678545	betas[12]	nrti	TRUE	NA	NA	NA	NA
-0.928671	-0.0681703	-0.667779	-0.366552	-0.5140065	betas[1]	nrti	TRUE	NA	NA	NA	NA
-0.651877	0.010865	-0.414525	-0.186168	-0.3190625	betas[2]	nrti	TRUE	NA	NA	NA	NA
-0.380337	0.301463	-0.153607	0.0807957	-0.03372385	betas[3]	nrti	TRUE	NA	NA	NA	NA
0.374967	1.38788	0.687191	1.0306	0.8666229999999999	betas[4]	nrti	TRUE	NA	NA	NA	NA
-0.472311	-0.0204596	-0.317783	-0.162798	-0.24724400000000002	betas[5]	nrti	TRUE	NA	NA	NA	NA
-0.289787	0.042868	-0.183621	-0.0688784	-0.12331700000000001	betas[6]	nrti	TRUE	NA	NA	NA	NA
0.186798	0.567396	0.3031	0.433285	0.37068100000000004	betas[7]	nrti	TRUE	NA	NA	NA	NA
0.155434	0.40697	0.233095	0.320249	0.278737	betas[8]	nrti	TRUE	NA	NA	NA	NA
-0.40697	-0.155434	-0.320249	-0.233095	-0.278737	betas[9]	nrti	TRUE	NA	NA	NA	NA
1	1	1	1	1	between_round_rr[1,1]	nrti	TRUE	1	susceptible	17	2015-11-03
1	1	1	1	1	between_round_rr[1,2]	nrti	TRUE	1	intermediate/high	17	2015-11-03
0.973264	1.22003	1.03692	1.12092	1.087115	between_round_rr[2,1]	nrti	TRUE	2	susceptible	18	2017-07-17
0.502661	2.14773	0.75024	1.2396	1.131715	between_round_rr[2,2]	nrti	TRUE	2	intermediate/high	18	2017-07-17
0.895102	1.17461	0.986924	1.08247	1.03488	between_round_rr[3,1]	nrti	TRUE	3	susceptible	19	2019-06-20
0.847922	3.04124	1.13131	1.75219	1.594165	between_round_rr[3,2]	nrti	TRUE	3	intermediate/high	19	2019-06-20
1.08393	1.42635	1.18944	1.30582	1.25018	between_round_rr[4,1]	nrti	TRUE	4	susceptible	20	2022-03-04
1.06371	3.91467	1.53357	2.35172	2.1532999999999998	between_round_rr[4,2]	nrti	TRUE	4	intermediate/high	20	2022-03-04
0.922725	0.970932	0.940269	0.95661	0.9473695	between_round_rr_obs[1,1]	nrti	TRUE	1	susceptible	17	2015-11-03
0.774063	0.9445	0.833949	0.893586	0.8645455	between_round_rr_obs[1,2]	nrti	TRUE	1	intermediate/high	17	2015-11-03
0.904109	1.14961	0.972902	1.05682	1.022885	between_round_rr_obs[2,1]	nrti	TRUE	2	susceptible	18	2017-07-17
0.438446	1.9003	0.644488	1.0796	0.9726915	between_round_rr_obs[2,2]	nrti	TRUE	2	intermediate/high	18	2017-07-17
0.809946	1.08501	0.89633	0.990877	0.945858	between_round_rr_obs[3,1]	nrti	TRUE	3	susceptible	19	2019-06-20
0.703985	2.72358	1.00203	1.57403	1.428375	between_round_rr_obs[3,2]	nrti	TRUE	3	intermediate/high	19	2019-06-20
0.992749	1.34893	1.10836	1.2284	1.169395	between_round_rr_obs[4,1]	nrti	TRUE	4	susceptible	20	2022-03-04
0.970347	3.74995	1.42554	2.21874	2.029845	between_round_rr_obs[4,2]	nrti	TRUE	4	intermediate/high	20	2022-03-04
0.604896	0.682274	0.626727	0.652806	0.642027	overall_mu_pred[1]	nrti	TRUE	NA	susceptible	NA	NA
0.491181	0.694559	0.559071	0.629755	0.5938355	overall_mu_pred[2]	nrti	TRUE	NA	intermediate/high	NA	NA
0.562523	0.632596	0.583971	0.60716	0.5960449999999999	overall_mu_pred_obs[1]	nrti	TRUE	NA	susceptible	NA	NA
0.403568	0.576821	0.456509	0.514499	0.48829999999999996	overall_mu_pred_obs[2]	nrti	TRUE	NA	intermediate/high	NA	NA
-6.41211	-4.55963	-5.702	-5.08369	-5.419895	prob_res_alpha_0	nrti	TRUE	NA	NA	NA	NA
