095lower	095upper	050lower	050upper	median	name	drug_class	posterior	round_idx	status	round	round_mid_date
-1.3319	1.40716	-0.487327	0.464709	-0.0145454	R_betas[1]	nrti	FALSE	NA	NA	NA	NA
-1.40716	1.3319	-0.464709	0.487327	0.0145454	R_betas[2]	nrti	FALSE	NA	NA	NA	NA
-1.41688	1.38455	-0.474981	0.489441	0.00766443	R_betas[3]	nrti	FALSE	NA	NA	NA	NA
-1.38455	1.41688	-0.489441	0.474981	-0.00766443	R_betas[4]	nrti	FALSE	NA	NA	NA	NA
-1.44078	1.35685	-0.491299	0.461485	0.0142786	R_betas[5]	nrti	FALSE	NA	NA	NA	NA
-1.35685	1.44078	-0.461485	0.491299	-0.0142786	R_betas[6]	nrti	FALSE	NA	NA	NA	NA
-1.43136	1.37654	-0.430753	0.525874	0.011527699999999998	R_betas[7]	nrti	FALSE	NA	NA	NA	NA
-1.37654	1.43136	-0.525874	0.430753	-0.011527699999999998	R_betas[8]	nrti	FALSE	NA	NA	NA	NA
-1.91714	1.91677	-0.786194	0.564458	0.012771049999999999	alpha_0	nrti	FALSE	NA	NA	NA	NA
2.06548e-4	12.8507	0.00100789	1.00796	1.007895	alpha_sd	nrti	FALSE	NA	NA	NA	NA
-1.63825	1.57273	-0.636012	0.485834	0.010556550000000001	betas[10]	nrti	FALSE	NA	NA	NA	NA
-1.57306	1.59419	-0.441642	0.649572	-0.005060145	betas[11]	nrti	FALSE	NA	NA	NA	NA
-1.56056	1.59271	-0.59436	0.521737	-0.01567575	betas[12]	nrti	FALSE	NA	NA	NA	NA
-1.72407	1.74615	-0.564622	0.625391	0.00457318	betas[1]	nrti	FALSE	NA	NA	NA	NA
-1.65701	1.64159	-0.635497	0.531412	-0.00257269	betas[2]	nrti	FALSE	NA	NA	NA	NA
-1.68727	1.69426	-0.563431	0.643734	-0.013607049999999999	betas[3]	nrti	FALSE	NA	NA	NA	NA
-1.7442	1.6324	-0.501762	0.661932	0.00913879	betas[4]	nrti	FALSE	NA	NA	NA	NA
-1.5045	1.60277	-0.518448	0.557627	0.00411926	betas[5]	nrti	FALSE	NA	NA	NA	NA
-1.54861	1.55396	-0.541973	0.560411	0.004071665	betas[6]	nrti	FALSE	NA	NA	NA	NA
-1.60681	1.57438	-0.606327	0.50768	-0.0103517	betas[7]	nrti	FALSE	NA	NA	NA	NA
-1.38463	1.38659	-0.490816	0.418967	-0.00848551	betas[8]	nrti	FALSE	NA	NA	NA	NA
-1.38659	1.38463	-0.418967	0.490816	0.00848551	betas[9]	nrti	FALSE	NA	NA	NA	NA
1	1	1	1	1	between_round_rr[1,1]	nrti	FALSE	1	susceptible	17	2015-11-03
1	1	1	1	1	between_round_rr[1,2]	nrti	FALSE	1	intermediate/high	17	2015-11-03
0.0519107	3.70421	0.431356	1.17268	0.999162	between_round_rr[2,1]	nrti	FALSE	2	susceptible	18	2017-07-17
0.040426	3.55285	0.501257	1.21998	0.998847	between_round_rr[2,2]	nrti	FALSE	2	intermediate/high	18	2017-07-17
0.00957698	3.71394	0.490558	1.21274	0.996574	between_round_rr[3,1]	nrti	FALSE	3	susceptible	19	2019-06-20
0.0230717	3.49895	0.511751	1.23854	0.9847395	between_round_rr[3,2]	nrti	FALSE	3	intermediate/high	19	2019-06-20
0.0223895	3.71117	0.393628	1.15153	0.998359	between_round_rr[4,1]	nrti	FALSE	4	susceptible	20	2022-03-04
0.014985	3.42728	0.473775	1.20758	1.00126	between_round_rr[4,2]	nrti	FALSE	4	intermediate/high	20	2022-03-04
0.62409	1.44098	0.910545	1.08588	1.001075	between_round_rr_obs[1,1]	nrti	FALSE	1	susceptible	17	2015-11-03
0.634383	1.42095	0.90823	1.08637	1.001745	between_round_rr_obs[1,2]	nrti	FALSE	1	intermediate/high	17	2015-11-03
0.0401936	3.951	0.465302	1.20421	1.0001	between_round_rr_obs[2,1]	nrti	FALSE	2	susceptible	18	2017-07-17
0.0324557	3.67303	0.463884	1.17729	0.9904255	between_round_rr_obs[2,2]	nrti	FALSE	2	intermediate/high	18	2017-07-17
0.0247465	3.84446	0.403856	1.14417	0.9979955	between_round_rr_obs[3,1]	nrti	FALSE	3	susceptible	19	2019-06-20
0.0224289	3.54936	0.424473	1.16121	0.9901115	between_round_rr_obs[3,2]	nrti	FALSE	3	intermediate/high	19	2019-06-20
0.0415028	3.99538	0.424894	1.17296	1.00529	between_round_rr_obs[4,1]	nrti	FALSE	4	susceptible	20	2022-03-04
0.0282056	3.60149	0.477136	1.2075	0.999881	between_round_rr_obs[4,2]	nrti	FALSE	4	intermediate/high	20	2022-03-04
0.165424	0.830689	0.381627	0.648092	0.500591	overall_mu_pred[1]	nrti	FALSE	NA	susceptible	NA	NA
0.162029	0.837065	0.343895	0.604751	0.497872	overall_mu_pred[2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.171221	0.800822	0.392929	0.641534	0.500813	overall_mu_pred_obs[1]	nrti	FALSE	NA	susceptible	NA	NA
0.1623	0.816717	0.355047	0.607131	0.49728649999999996	overall_mu_pred_obs[2]	nrti	FALSE	NA	intermediate/high	NA	NA
-2.02299	1.93186	-0.673474	0.683718	0.007649609999999999	prob_res_alpha_0	nrti	FALSE	NA	NA	NA	NA
-19.2732	16.5986	-0.97379	1.0439	-0.0396906	prob_res_alpha_sd	nrti	FALSE	NA	NA	NA	NA
-1.64938	1.61372	-0.547299	0.564715	0.0012225345000000001	prob_res_betas[10]	nrti	FALSE	NA	NA	NA	NA
-1.54469	1.6013	-0.478376	0.607359	-0.00887578	prob_res_betas[11]	nrti	FALSE	NA	NA	NA	NA
-1.57186	1.62185	-0.466831	0.628532	0.01083095	prob_res_betas[12]	nrti	FALSE	NA	NA	NA	NA
-1.68339	1.68638	-0.619737	0.562448	-0.004486675000000001	prob_res_betas[1]	nrti	FALSE	NA	NA	NA	NA
-1.7763	1.65671	-0.597857	0.581574	-0.01453775	prob_res_betas[2]	nrti	FALSE	NA	NA	NA	NA
-1.79762	1.65401	-0.543115	0.616756	-0.008422909999999999	prob_res_betas[3]	nrti	FALSE	NA	NA	NA	NA
-1.82958	1.6389	-0.489733	0.680956	0.01053895	prob_res_betas[4]	nrti	FALSE	NA	NA	NA	NA
-1.54012	1.73048	-0.508392	0.584937	0.0035349450000000003	prob_res_betas[5]	nrti	FALSE	NA	NA	NA	NA
-1.62737	1.6179	-0.49672	0.60628	-0.00467464	prob_res_betas[6]	nrti	FALSE	NA	NA	NA	NA
-1.61025	1.54513	-0.540092	0.54326700000000006	0.013591349999999999	prob_res_betas[7]	nrti	FALSE	NA	NA	NA	NA
-1.33662	1.34793	-0.499061	0.440929	-0.005363140000000001	prob_res_betas[8]	nrti	FALSE	NA	NA	NA	NA
-1.34793	1.33662	-0.440929	0.499061	0.005363140000000001	prob_res_betas[9]	nrti	FALSE	NA	NA	NA	NA
0.0619727	0.92133	0.342354	0.733715	0.5039739999999999	round_mu_pred[1,1]	nrti	FALSE	1	susceptible	17	2015-11-03
0.0792792	0.926696	0.324873	0.699134	0.5031399999999999	round_mu_pred[1,2]	nrti	FALSE	1	intermediate/high	17	2015-11-03
0.066698	0.914349	0.332748	0.716962	0.49535799999999997	round_mu_pred[2,1]	nrti	FALSE	2	susceptible	18	2017-07-17
0.0764145	0.920315	0.285061	0.661187	0.498017	round_mu_pred[2,2]	nrti	FALSE	2	intermediate/high	18	2017-07-17
0.0768901	0.932708	0.356921	0.751333	0.498137	round_mu_pred[3,1]	nrti	FALSE	3	susceptible	19	2019-06-20
0.0589573	0.924139	0.250706	0.646775	0.498027	round_mu_pred[3,2]	nrti	FALSE	3	intermediate/high	19	2019-06-20
0.0743025	0.929607	0.35549	0.743985	0.503826	round_mu_pred[4,1]	nrti	FALSE	4	susceptible	20	2022-03-04
0.0536451	0.909086	0.309354	0.695203	0.50392	round_mu_pred[4,2]	nrti	FALSE	4	intermediate/high	20	2022-03-04
0.0844273	0.933109	0.325647	0.705708	0.503816	round_mu_pred_obs[1,1]	nrti	FALSE	1	susceptible	17	2015-11-03
0.0867189	0.926932	0.349526	0.721512	0.5042015	round_mu_pred_obs[1,2]	nrti	FALSE	1	intermediate/high	17	2015-11-03
0.0866074	0.911095	0.333335	0.699574	0.497634	round_mu_pred_obs[2,1]	nrti	FALSE	2	susceptible	18	2017-07-17
0.0726381	0.90379	0.296958	0.654493	0.4976735	round_mu_pred_obs[2,2]	nrti	FALSE	2	intermediate/high	18	2017-07-17
0.106518	0.937027	0.307371	0.684708	0.5031785	round_mu_pred_obs[3,1]	nrti	FALSE	3	susceptible	19	2019-06-20
0.0754822	0.930358	0.324425	0.715983	0.499548	round_mu_pred_obs[3,2]	nrti	FALSE	3	intermediate/high	19	2019-06-20
0.0936898	0.927372	0.372821	0.737504	0.5039495	round_mu_pred_obs[4,1]	nrti	FALSE	4	susceptible	20	2022-03-04
0.0884671	0.924245	0.341771	0.706187	0.5043975	round_mu_pred_obs[4,2]	nrti	FALSE	4	intermediate/high	20	2022-03-04
0.0285017	0.992815	0.0045757	0.500478	0.496662	strata_mu_pred[1,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0353586	0.995	0.00280006	0.501342	0.4991135	strata_mu_pred[1,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.00838716	0.972019	6.75545e-4	0.496648	0.4966125	strata_mu_pred[10,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0238532	0.983793	0.00132634	0.498884	0.498688	strata_mu_pred[10,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0105668	0.974372	0.499017	0.998129	0.499763	strata_mu_pred[11,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0183662	0.980695	0.499862	0.996044	0.501599	strata_mu_pred[11,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0298269	0.990077	0.504675	0.997525	0.5064335	strata_mu_pred[12,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0130854	0.973488	0.504694	0.998024	0.5052255	strata_mu_pred[12,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0164726	0.979816	0.00207467	0.501455	0.5001925	strata_mu_pred[13,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0239338	0.983266	0.00204775	0.494806	0.493887	strata_mu_pred[13,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.02205	0.984937	0.00240782	0.499256	0.49761449999999996	strata_mu_pred[14,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0253591	0.986173	0.00556647	0.503886	0.49991450000000004	strata_mu_pred[14,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0241288	0.986257	0.499657	0.997037	0.501258	strata_mu_pred[15,1]	nrti	FALSE	NA	susceptible	NA	NA
0.00394127	0.963816	0.0042539	0.499836	0.4974885	strata_mu_pred[15,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0109481	0.971318	0.510536	0.998971	0.5106729999999999	strata_mu_pred[16,1]	nrti	FALSE	NA	susceptible	NA	NA
0.025846	0.986053	0.504956	0.995398	0.507989	strata_mu_pred[16,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0290129	0.989734	0.506171	0.995152	0.508691	strata_mu_pred[17,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0311052	0.992429	0.510106	0.998534	0.5105965	strata_mu_pred[17,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0180386	0.980175	0.503304	0.99907	0.5034689999999999	strata_mu_pred[18,1]	nrti	FALSE	NA	susceptible	NA	NA
0.0215179	0.982322	0.501196	0.998909	0.5013285000000001	strata_mu_pred[18,2]	nrti	FALSE	NA	intermediate/high	NA	NA
0.0174365	0.97749	0.00195166	0.495709	0.494442	strata_mu_pred[19,1]	nrti	FALSE	NA	susceptible	NA	NA
