095lower	095upper	050lower	050upper	median	name	drug_class	posterior	round_idx	status	round	round_mid_date
-1.27125	1.08259	-0.439555	0.386411	-0.07054115	R_betas[1]	overall	TRUE	NA	NA	NA	NA
-1.08259	1.27125	-0.386411	0.439555	0.07054115	R_betas[2]	overall	TRUE	NA	NA	NA	NA
-1.20855	1.17434	-0.399439	0.429346	-0.01299855	R_betas[3]	overall	TRUE	NA	NA	NA	NA
-1.17434	1.20855	-0.429346	0.399439	0.01299855	R_betas[4]	overall	TRUE	NA	NA	NA	NA
-1.17377	1.18646	-0.395258	0.432734	0.004185385	R_betas[5]	overall	TRUE	NA	NA	NA	NA
-1.18646	1.17377	-0.432734	0.395258	-0.004185385	R_betas[6]	overall	TRUE	NA	NA	NA	NA
-0.98387	1.45644	-0.143803	0.693482	0.23417	R_betas[7]	overall	TRUE	NA	NA	NA	NA
-1.45644	0.98387	-0.693482	0.143803	-0.23417	R_betas[8]	overall	TRUE	NA	NA	NA	NA
-0.313039	1.04603	0.0812726	0.557581	0.343089	alpha_0	overall	TRUE	NA	NA	NA	NA
0.00193426	0.81442	0.381535	0.675529	0.49274249999999997	alpha_sd	overall	TRUE	NA	NA	NA	NA
-0.300862	0.003314	-0.201427	-0.0964858	-0.143571	betas[10]	overall	TRUE	NA	NA	NA	NA
0.0374685	0.311234	0.131614	0.226028	0.180438	betas[11]	overall	TRUE	NA	NA	NA	NA
-0.196311	0.123745	-0.094341	0.0187505	-0.0357267	betas[12]	overall	TRUE	NA	NA	NA	NA
-1.19329	0.805133	-0.579637	0.0963621	-0.2117345	betas[1]	overall	TRUE	NA	NA	NA	NA
-1.07931	0.897212	-0.452233	0.228276	-0.09873380000000001	betas[2]	overall	TRUE	NA	NA	NA	NA
-1.10661	0.90036	-0.454429	0.232089	-0.07134035	betas[3]	overall	TRUE	NA	NA	NA	NA
-0.652883	1.42009	-0.0567794	0.651828	0.36753	betas[4]	overall	TRUE	NA	NA	NA	NA
-0.330125	0.034553	-0.213945	-0.0895846	-0.143117	betas[5]	overall	TRUE	NA	NA	NA	NA
-0.345359	-0.0771969	-0.252401	-0.161925	-0.21124199999999999	betas[6]	overall	TRUE	NA	NA	NA	NA
0.205939	0.51354	0.293864	0.395994	0.352287	betas[7]	overall	TRUE	NA	NA	NA	NA
0.134467	0.337097	0.198322	0.269162	0.2338815	betas[8]	overall	TRUE	NA	NA	NA	NA
-0.337097	-0.134467	-0.269162	-0.198322	-0.2338815	betas[9]	overall	TRUE	NA	NA	NA	NA
1	1	1	1	1	between_round_rr[1,1]	overall	TRUE	1	susceptible	17	2015-11-03
NA	NA	NA	NA	NA	between_round_rr[1,2]	overall	TRUE	1	intermediate/high	17	2015-11-03
0.98425	1.20266	1.05695	1.13261	1.0901100000000001	between_round_rr[2,1]	overall	TRUE	2	susceptible	18	2017-07-17
NA	NA	NA	NA	NA	between_round_rr[2,2]	overall	TRUE	2	intermediate/high	18	2017-07-17
0.989976	1.24391	1.06967	1.15488	1.116835	between_round_rr[3,1]	overall	TRUE	3	susceptible	19	2019-06-20
NA	NA	NA	NA	NA	between_round_rr[3,2]	overall	TRUE	3	intermediate/high	19	2019-06-20
1.2411	1.54049	1.32663	1.42866	1.38377	between_round_rr[4,1]	overall	TRUE	4	susceptible	20	2022-03-04
NA	NA	NA	NA	NA	between_round_rr[4,2]	overall	TRUE	4	intermediate/high	20	2022-03-04
0.945088	0.979115	0.956539	0.968296	0.962794	between_round_rr_obs[1,1]	overall	TRUE	1	susceptible	17	2015-11-03
NA	NA	NA	NA	NA	between_round_rr_obs[1,2]	overall	TRUE	1	intermediate/high	17	2015-11-03
0.922153	1.13793	0.990732	1.0651	1.0312299999999999	between_round_rr_obs[2,1]	overall	TRUE	2	susceptible	18	2017-07-17
NA	NA	NA	NA	NA	between_round_rr_obs[2,2]	overall	TRUE	2	intermediate/high	18	2017-07-17
0.91363	1.1659	0.990235	1.0752	1.036035	between_round_rr_obs[3,1]	overall	TRUE	3	susceptible	19	2019-06-20
NA	NA	NA	NA	NA	between_round_rr_obs[3,2]	overall	TRUE	3	intermediate/high	19	2019-06-20
1.16061	1.47172	1.25329	1.36007	1.30897	between_round_rr_obs[4,1]	overall	TRUE	4	susceptible	20	2022-03-04
NA	NA	NA	NA	NA	between_round_rr_obs[4,2]	overall	TRUE	4	intermediate/high	20	2022-03-04
0.582106	0.65015	0.601404	0.624911	0.6148325	overall_mu_pred[1]	overall	TRUE	NA	susceptible	NA	NA
NA	NA	NA	NA	NA	overall_mu_pred[2]	overall	TRUE	NA	intermediate/high	NA	NA
