var	RR	LCI	UCI	P	label	corr
(Intercept)	0.062028157834138904	0.047297766406051385	0.08134617460084945	0	nnrti_among_viremic_pt_sex_round	ar1
sexM	0.7208722531861623	0.5455486446483797	0.9525398156723985	0.02133822965580434	nnrti_among_viremic_pt_sex_round	ar1
round16	1.1767193718409266	0.8760785629554614	1.5805300330537817	0.2796694194260634	nnrti_among_viremic_pt_sex_round	ar1
round17	1.3383666382432722	0.9709381216928712	1.8448397671723114	0.07509953557013349	nnrti_among_viremic_pt_sex_round	ar1
round18	1.849053715967986	1.3281303676501588	2.574295210630717	2.718187671654215e-4	nnrti_among_viremic_pt_sex_round	ar1
round19	2.15246612032108	1.4706308179684833	3.1504238470469574	7.997861406494611e-5	nnrti_among_viremic_pt_sex_round	ar1
round20	2.739758879888624	1.667366110598816	4.501877945229899	6.960593804439252e-5	nnrti_among_viremic_pt_sex_round	ar1
(Intercept)	0.057892665134500906	0.0423504308780097	0.07913876215402903	0	nnrti_among_viremic_pt_age_cat_round	ar1
age_cat(24,34]	0.9161581071262729	0.6744272321112917	1.2445311180950198	0.5752907527663835	nnrti_among_viremic_pt_age_cat_round	ar1
age_cat(34,49]	0.9400372461145448	0.654052566739568	1.3510688116211897	0.7382890838688745	nnrti_among_viremic_pt_age_cat_round	ar1
round16	1.1624996271819903	0.8672843350950351	1.5582033809594662	0.3137624330855624	nnrti_among_viremic_pt_age_cat_round	ar1
round17	1.3144328530670384	0.9561329604893728	1.8070015328596738	0.09223715810595945	nnrti_among_viremic_pt_age_cat_round	ar1
round18	1.8061444758463683	1.2998824582931519	2.509579113725269	4.270216977644292e-4	nnrti_among_viremic_pt_age_cat_round	ar1
round19	2.124106769251102	1.4521169618389116	3.1070703571045186	1.0348357976974754e-4	nnrti_among_viremic_pt_age_cat_round	ar1
round20	2.730167973930808	1.673219372085089	4.45477579941526	5.8062613223164306e-5	nnrti_among_viremic_pt_age_cat_round	ar1
(Intercept)	0.05024635230655471	0.037691864354583236	0.06698251634261279	0	nnrti_among_viremic_pt_comm_cat_round	ar1
comm_catinland	1.1723715555955307	0.8827598813597163	1.5569976540533421	0.2719673486982721	nnrti_among_viremic_pt_comm_cat_round	ar1
round16	1.1656421116728093	0.871592993418052	1.5588945101275578	0.30142729606111107	nnrti_among_viremic_pt_comm_cat_round	ar1
round17	1.3139975353556346	0.9580945957186875	1.8021075691649526	0.09019924106758559	nnrti_among_viremic_pt_comm_cat_round	ar1
round18	1.790273047696174	1.2890714343347875	2.4863459851325427	5.104434631146848e-4	nnrti_among_viremic_pt_comm_cat_round	ar1
round19	2.057473098307424	1.4070653488852674	3.008528035753602	1.9803273622265305e-4	nnrti_among_viremic_pt_comm_cat_round	ar1
round20	2.698319008649958	1.6548361905729547	4.399786222901504	6.916010937052519e-5	nnrti_among_viremic_pt_comm_cat_round	ar1
(Intercept)	0.05134047554958476	0.03743809261050628	0.07040541453540324	0	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
subtype_bestref_catC	1.0114466061939638	0.3949760374525413	2.5900919047632347	0.9810731447208267	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
subtype_bestref_catD	1.1225922803939892	0.8202443131836192	1.536387888029242	0.47011358046415663	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
subtype_bestref_catother	1.0360951651017467	0.7237135442707707	1.4833122851512894	0.8464212844149059	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
round16	1.1589201740578141	0.8594532421809954	1.5627330306298932	0.3335603549242897	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
round17	1.3124030549458916	0.9507076207952264	1.8117050299760857	0.098397687072036	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
round18	1.8025776269300104	1.2888711362331955	2.5210325607918143	5.760105690820749e-4	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
round19	2.106425485548364	1.4369259374291663	3.087861531754406	1.347870242754956e-4	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
round20	2.736065172834051	1.6807635083166212	4.453959520749666	5.1537358881414974e-5	nnrti_among_viremic_pt_subtype_bestref_cat_round	ar1
