s	s_var	15	16	17	18	19	20
		17,034	17,979	19,317	19,775	19,276	15,947
ageyrs	ageyrs	28 [13]	29 [15]	29 [14]	29 [16]	29 [17]	30 [18]
age_cat	(14,24]	5,977 (35.1%)	6,404 (35.6%)	6,813 (35.3%)	6,968 (35.2%)	6,679 (34.6%)	5,468 (34.3%)
age_cat	(24,34]	6,394 (37.5%)	6,282 (34.9%)	6,411 (33.2%)	6,358 (32.2%)	5,913 (30.7%)	4,607 (28.9%)
age_cat	(34,49]	4,663 (27.4%)	5,293 (29.4%)	6,093 (31.5%)	6,449 (32.6%)	6,684 (34.7%)	5,872 (36.8%)
comm_type	Agrarian community	7,586 (44.5%)	7,947 (44.2%)	8,565 (44.3%)	8,488 (42.9%)	8,589 (44.6%)	5,747 (36%)
comm_type	Fish landing site	3,851 (22.6%)	3,923 (21.8%)	4,234 (21.9%)	4,748 (24%)	4,058 (21.1%)	4,343 (27.2%)
comm_type	Trading community	5,597 (32.9%)	6,109 (34%)	6,518 (33.7%)	6,539 (33.1%)	6,629 (34.4%)	5,857 (36.7%)
sex	F	9,194 (54%)	9,669 (53.8%)	10,446 (54.1%)	10,534 (53.3%)	10,415 (54%)	8,537 (53.5%)
sex	M	7,840 (46%)	8,310 (46.2%)	 8,871 (45.9%)	 9,241 (46.7%)	 8,861 (46%)	7,410 (46.5%)
