round	any_among_viremic_tx_n	any_among_viremic_tx_obs	any_among_viremic_tx_Prev. % (95% CI)	any_among_viremic_tx_Prev. ratio (95% CI)	any_among_viremic_tx_p-value	any_among_viremic_tx_spacer	insti_among_viremic_tx_n	insti_among_viremic_tx_obs	insti_among_viremic_tx_Prev. % (95% CI)	insti_among_viremic_tx_Prev. ratio (95% CI)	insti_among_viremic_tx_p-value	insti_among_viremic_tx_spacer	nnrti_among_viremic_tx_n	nnrti_among_viremic_tx_obs	nnrti_among_viremic_tx_Prev. % (95% CI)	nnrti_among_viremic_tx_Prev. ratio (95% CI)	nnrti_among_viremic_tx_p-value	nnrti_among_viremic_tx_spacer	nrti_among_viremic_tx_n	nrti_among_viremic_tx_obs	nrti_among_viremic_tx_Prev. % (95% CI)	nrti_among_viremic_tx_Prev. ratio (95% CI)	nrti_among_viremic_tx_p-value	nrti_among_viremic_tx_spacer	pi_among_viremic_tx_n	pi_among_viremic_tx_obs	pi_among_viremic_tx_Prev. % (95% CI)	pi_among_viremic_tx_Prev. ratio (95% CI)	pi_among_viremic_tx_p-value	pi_among_viremic_tx_spacer	round_min_date	round_mid_date	round_max_date
16			51.1 (40.7, 64.2)			 			0 (NA, NA)			 			46 (35.9, 58.9)			 			34.1 (25.4, 45.7)			 			0 (NA, NA)			 	2013-07-08T00:00:00Z	2014-04-07T00:00:00Z	2015-01-28T00:00:00Z
17			49.8 (44.2, 56.1)			 			0.4 (0.1, 3)			 			46 (40.7, 52.1)			 			38.9 (33.4, 45.4)			 			3.1 (1.4, 6.6)			 	2015-02-23T00:00:00Z	2015-11-03T00:00:00Z	2016-09-02T00:00:00Z
18			44.4 (39.1, 50.4)			 			0.9 (0.2, 3.4)			 			43.4 (38.3, 49.1)			 			33 (28, 38.8)			 			2.2 (0.9, 5.3)			 	2016-10-03T00:00:00Z	2017-07-17T00:00:00Z	2018-05-21T00:00:00Z
19			41.4 (34.2, 50.1)			 			0 (0, 0)			 			37.6 (31.3, 45.3)			 			24.5 (18.3, 32.8)			 			3.8 (1.6, 8.9)			 	2018-06-19T00:00:00Z	2019-06-20T00:00:00Z	2020-11-04T00:00:00Z
20			27.9 (21.3, 36.5)			 			2.7 (0.9, 8)			 			22.2 (17.1, 28.9)			 			12.3 (7.7, 19.9)			 			0.9 (0.1, 6.1)			 	2021-02-01T00:00:00Z	2022-03-04T00:00:00Z	2023-03-07T00:00:00Z
16	 62	29 (46.8%)		ref	ref	 	 90	 0 (0%)		ref	ref	 	 66	28 (42.4%)		ref	ref	 	 65	25 (38.5%)		ref	ref	 	 76	 0 (0%)		ref	ref	 			
17	180	95 (52.8%)		0.98 (0.78, 1.22)	0.83	 	213	 1 (0.5%)		63469696507227324416 (NA, NA)		 	192	92 (47.9%)		1 (0.79, 1.27)	0.99	 	180	77 (42.8%)		1.14 (0.86, 1.52)	0.35	 	190	 6 (3.2%)		310827240908433536 (NA, NA)		 			
18	207	95 (45.9%)		0.87 (0.68, 1.11)	0.26	 	218	 2 (0.9%)		132268368927613517824 (NA, NA)		 	210	91 (43.3%)		0.94 (0.73, 1.22)	0.66	 	207	72 (34.8%)		0.97 (0.71, 1.33)	0.84	 	214	 5 (2.3%)		225775844584544928 (NA, NA)		 			
19	114	50 (43.9%)		0.81 (0.6, 1.09)	0.16	 	141	 0 (0%)		43.79 (NA, NA)		 	119	47 (39.5%)		0.82 (0.61, 1.11)	0.19	 	119	29 (24.4%)		0.72 (0.48, 1.08)	0.11	 	134	 5 (3.7%)		382153517911992128 (NA, NA)		 			
20	 85	17 (20%)		0.55 (0.39, 0.77)	0.00066	 	108	 3 (2.8%)		406736478661698191360 (NA, NA)		 	 90	14 (15.6%)		0.48 (0.34, 0.69)	<0.0001	 	 85	 6 (7.1%)		0.36 (0.21, 0.63)	0.00035	 	 97	 1 (1%)		86379302431847216 (NA, NA)		 			
