var	v	n	!(is.na(sequence_id))	!(is.na(insti)) | !(is.na(nnrti)) | !(is.na(nrti)) | !(is.na(pi))	!(is.na(insti))	!(is.na(nnrti))	!(is.na(nrti))	!(is.na(pi))	!(is.na(insti)) & !(is.na(nnrti)) & !(is.na(nrti)) & !(is.na(pi))
overall		963	936 (97.2%)	783 (83.7%)	770 (82.3%)	677 (72.3%)	656 (70.1%)	711 (76%)	630 (67.3%)
round		 NA							
round	16	193	182 (94.3%)	 94 (51.6%)	 90 (49.5%)	 66 (36.3%)	 65 (35.7%)	 76 (41.8%)	 57 (31.3%)
round	17	241	233 (96.7%)	215 (92.3%)	213 (91.4%)	192 (82.4%)	180 (77.3%)	190 (81.5%)	172 (73.8%)
round	18	239	235 (98.3%)	218 (92.8%)	218 (92.8%)	210 (89.4%)	207 (88.1%)	214 (91.1%)	205 (87.2%)
round	19	173	170 (98.3%)	147 (86.5%)	141 (82.9%)	119 (70%)	119 (70%)	134 (78.8%)	112 (65.9%)
round	20	117	116 (99.1%)	109 (94%)	108 (93.1%)	 90 (77.6%)	 85 (73.3%)	 97 (83.6%)	 84 (72.4%)
sequenced		 27	 NA (NA%)						
sequenced	PANGEA1	  9	  9 (100%)	  6 (66.7%)	  5 (55.6%)	  5 (55.6%)	  6 (66.7%)	  6 (66.7%)	  4 (44.4%)
sequenced	PANGEA2	927	927 (100%)	777 (83.8%)	765 (82.5%)	672 (72.5%)	650 (70.1%)	705 (76.1%)	626 (67.5%)
subtype_bestref_cat		 32	  5 (15.6%)						
subtype_bestref_cat	A1	255	255 (100%)	218 (85.5%)	215 (84.3%)	182 (71.4%)	182 (71.4%)	195 (76.5%)	175 (68.6%)
subtype_bestref_cat	C	 32	 32 (100%)	 28 (87.5%)	 28 (87.5%)	 23 (71.9%)	 23 (71.9%)	 23 (71.9%)	 21 (65.6%)
subtype_bestref_cat	D	505	505 (100%)	426 (84.4%)	421 (83.4%)	375 (74.3%)	363 (71.9%)	395 (78.2%)	348 (68.9%)
subtype_bestref_cat	other	139	139 (100%)	111 (79.9%)	106 (76.3%)	 97 (69.8%)	 88 (63.3%)	 98 (70.5%)	 86 (61.9%)
subtype_bestref_cat		 32	  5 (15.6%)	 NA (NA%)	 NA (NA%)	 NA (NA%)	 NA (NA%)	 NA (NA%)	 NA (NA%)
vl_copies_cat		 NA							
vl_copies_cat	(3,4]	500	484 (96.8%)	359 (74.2%)	348 (71.9%)	280 (57.9%)	257 (53.1%)	296 (61.2%)	241 (49.8%)
vl_copies_cat	(4,5]	364	357 (98.1%)	330 (92.4%)	328 (91.9%)	304 (85.2%)	305 (85.4%)	321 (89.9%)	296 (82.9%)
vl_copies_cat	(5, Inf]	 99	 95 (96%)	 94 (98.9%)	 94 (98.9%)	 93 (97.9%)	 94 (98.9%)	 94 (98.9%)	 93 (97.9%)
