round	supp_among_tx_n	supp_among_tx_obs	supp_among_tx_Prev. % (95% CI)	supp_among_tx_Prev. ratio (95% CI)	supp_among_tx_p-value	supp_among_tx_spacer	round_min_date	round_mid_date	round_max_date
16			91 (89.8, 92.1)			 	2013-07-08T00:00:00Z	2014-04-07T00:00:00Z	2015-01-28T00:00:00Z
17			91.1 (90.1, 92.1)			 	2015-02-23T00:00:00Z	2015-11-03T00:00:00Z	2016-09-02T00:00:00Z
18			91.9 (91, 92.7)			 	2016-10-03T00:00:00Z	2017-07-17T00:00:00Z	2018-05-21T00:00:00Z
19			93.6 (92.8, 94.4)			 	2018-06-19T00:00:00Z	2019-06-20T00:00:00Z	2020-11-04T00:00:00Z
20			95.4 (94.6, 96.1)			 	2021-02-01T00:00:00Z	2022-03-04T00:00:00Z	2023-03-07T00:00:00Z
16	2,110	1,917 (90.9%)		ref	ref	 			
17	2,821	2,580 (91.5%)		1 (0.99, 1.02)	0.85	 			
18	3,136	2,897 (92.4%)		1.01 (0.99, 1.02)	0.2	 			
19	3,053	2,880 (94.3%)		1.03 (1.01, 1.04)	0.00015	 			
20	2,702	2,585 (95.7%)		1.05 (1.03, 1.06)	<0.0001	 			
